                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.4829,                 1.2854,                 1.4065,                0.34475,                0.22263,                0.18825,                0.08021,                 2.2002,                  2.408,                 2.0544,                0.00101,                0.00101,                0.00101
                    102,                 1.5062,                 1.2994,                 1.4048,                0.40819,                0.23306,                0.21001,                0.08943,                 2.2346,                 2.3291,                 2.0458,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.4341,                 1.2741,                 1.3832,                0.43084,                0.23967,                0.23812,                0.09838,                  2.196,                 2.2044,                 2.0395,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.4732,                 1.2928,                 1.3898,                0.42002,                0.21653,                0.21397,                0.08882,                  2.195,                 2.3186,                 2.1018,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.4602,                 1.3246,                 1.4147,                0.41693,                0.22149,                0.20162,                0.08821,                 2.2253,                 2.3764,                 2.1477,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.4058,                 1.2612,                 1.3775,                0.50424,                0.22149,                 0.2196,                0.09715,                 2.1698,                 2.2944,                 2.0566,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.4263,                  1.252,                 1.4089,                0.38894,                0.25785,                0.22143,                0.09479,                  2.195,                 2.3282,                  2.047,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.3948,                 1.2546,                 1.3725,                0.41172,                0.23636,                0.23145,                0.10033,                 2.1357,                 2.3069,                 2.0108,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.4457,                 1.2728,                 1.4039,                0.40317,                0.23967,                0.22169,                0.09677,                 2.1416,                 2.3165,                 2.0282,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.4242,                 1.2657,                 1.3726,                0.44561,                0.23471,                0.23063,                0.09972,                 2.1366,                 2.2782,                 2.0467,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.3907,                 1.2123,                 1.3593,                0.44655,                0.25455,                0.24084,                0.10246,                 2.2175,                 2.2125,                 2.0716,               0.000911,               0.000911,               0.000911
                    112,                 1.4031,                 1.2345,                  1.358,                0.55907,                0.23471,                0.23289,                0.10167,                 2.2456,                 2.3358,                 2.1294,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.4065,                 1.2304,                 1.3631,                0.46713,                0.24488,                0.23206,                 0.0978,                 2.2093,                 2.2526,                 2.0886,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.3374,                 1.1649,                 1.3096,                0.42355,                0.23682,                 0.2299,                0.09372,                  2.214,                 2.2763,                 2.0802,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.3765,                 1.1919,                 1.3359,                0.41678,                0.26942,                0.24276,                0.10402,                 2.1769,                 2.2092,                 2.0099,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.3875,                 1.1525,                 1.3358,                0.40509,                0.24463,                0.23102,                0.09311,                 2.1893,                 2.3797,                 2.0692,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.3275,                 1.1656,                 1.3214,                0.42259,                0.23967,                0.22901,                0.09881,                 2.1866,                 2.3819,                 2.0633,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.3838,                 1.1804,                 1.3417,                0.45633,                0.23636,                0.22611,                0.09752,                  2.185,                 2.3974,                 2.0635,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.3196,                   1.12,                 1.3063,                0.44642,                 0.2314,                0.22107,                0.09491,                 2.2066,                 2.4829,                 2.0771,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.3497,                 1.2059,                 1.3604,                0.40535,                0.23471,                0.21278,                0.09071,                 2.2089,                  2.552,                 2.1441,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.3756,                 1.1742,                 1.3618,                0.44154,                0.24298,                  0.218,                0.09298,                 2.2195,                 2.3871,                 2.1446,               0.000812,               0.000812,               0.000812
                    122,                 1.3288,                 1.1647,                 1.3287,                 0.4327,                0.24298,                0.22914,                0.10105,                 2.1841,                 2.1997,                 2.1483,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.3108,                 1.1259,                 1.3028,                0.52014,                0.23967,                 0.2487,                 0.1081,                 2.1553,                 2.2356,                 2.0317,              0.0007922,              0.0007922,              0.0007922
